content,channel,customer_label
"The dashboard loads incredibly fast now after the update. Great job!","NPS Survey","Enterprise"
"I've been trying to invite my team members for 3 days and the email never arrives.","Support Ticket","Pro"
"Can you add an integration with Salesforce? We really need this to close our deals.","Sales Call Note","Enterprise"
"I love the clean UI, but the dark mode contrasts are a bit harsh on the eyes.","App Store Review",""
"Billing is confusing. Why did I get charged twice this month?","Support Ticket","Basic"
"Overall it's a solid platform, but I wish the PDF exports had more customization options.","Community Post","Pro"
"The semantic search feature is like magic! It finds exactly what I mean.","App Store Review","Enterprise"
"Whenever I try to filter by date, the page crashes. Please fix ASAP!","Support Ticket","Basic"
"It would be awesome if we could set up automated webhooks for alerts.","NPS Survey","Pro"
"We are heavily relying on this tool. It saves our product managers 10 hours a week.","Sales Call Note","Enterprise"
